hidden layers;100;200;300;400
5;3.0;2.7;2.47;2.46
10;2.46;2.17;2.1;2.09
15;2.21;2.12;1.93;1.89
20;2.26;2.07;1.87;1.8
25;2.23;1.99;1.93;1.8
30;2.26;1.97;1.85;1.81
35;2.25;1.97;1.87;1.76
40;2.28;1.89;1.83;1.72
45;2.27;1.89;1.84;1.72
50;2.26;1.93;1.8;1.79
