hidden_layers,100,200,300,400
5,3.0,2.7,2.47,2.46
10,2.46,2.27,2.1,2.09
15,2.26,2.12,1.93,1.89
20,2.21,2.01,1.86,1.84
25,2.23,1.9,1.83,1.82
30,2.26,1.87,1.82,1.81
35,2.25,1.91,1.75,1.76
40,2.28,1.91,1.71,1.69
45,2.27,1.92,1.75,1.70
50,2.26,1.93,1.8,1.75
